$DATA1 SOURCE='PrimeSim HSPICE' VERSION='R-2020.12-SP2-2 linux64' PARAM_COUNT=2
$OPTION MEASFORM=3
.TITLE '.option'
index,w,vdd_power,pd_hh,pd_ll,temper,alter#
 1.000e+00, 1.200e-07, 4.228e-05, 5.270e-10, 5.270e-10, 2.500e+01,1
 2.000e+00, 2.400e-07, 5.098e-05, 2.910e-10, 2.910e-10, 2.500e+01,1
 3.000e+00, 3.600e-07, 5.242e-05, 2.056e-10, 2.056e-10, 2.500e+01,1
 4.000e+00, 4.800e-07, 5.330e-05, 1.622e-10, 1.622e-10, 2.500e+01,1
 5.000e+00, 6.000e-07, 5.408e-05, 1.350e-10, 1.350e-10, 2.500e+01,1
 6.000e+00, 7.200e-07, 5.500e-05, 1.164e-10, 1.164e-10, 2.500e+01,1
 7.000e+00, 1.000e-06, 5.701e-05, 9.026e-11, 9.026e-11, 2.500e+01,1
 8.000e+00, 1.600e-06, 6.182e-05, 6.434e-11, 6.434e-11, 2.500e+01,1
